Name  ,Metric,Value
Dwyane Wade ,G,79.0
LeBron James ,G,81.0
Kobe Bryant ,G,82.0
Dirk Nowitzki ,G,81.0
Danny Granger ,G,67.0
Kevin Durant ,G,74.0
Kevin Martin ,G,51.0
Al Jefferson ,G,50.0
Chris Paul ,G,78.0
Carmelo Anthony ,G,66.0
Chris Bosh ,G,77.0
Brandon Roy ,G,78.0
Antawn Jamison ,G,81.0
Tony Parker ,G,72.0
Amare Stoudemire ,G,53.0
Joe Johnson ,G,79.0
Devin Harris ,G,69.0
Michael Redd ,G,33.0
David West ,G,76.0
Zachary Randolph ,G,50.0
Caron Butler ,G,67.0
Vince Carter ,G,80.0
Stephen Jackson ,G,59.0
Ben Gordon ,G,82.0
Dwight Howard ,G,79.0
Paul Pierce ,G,81.0
Al Harrington ,G,73.0
Jamal Crawford ,G,65.0
Yao Ming ,G,77.0
Richard Jefferson ,G,82.0
Jason Terry ,G,74.0
Deron Williams ,G,68.0
Tim Duncan ,G,75.0
Monta Ellis ,G,25.0
Rudy Gay ,G,79.0
Pau Gasol ,G,81.0
Andre Iguodala ,G,82.0
Corey Maggette ,G,51.0
O.J. Mayo ,G,82.0
John Salmons ,G,79.0
Richard Hamilton ,G,67.0
Ray Allen ,G,79.0
LaMarcus Aldridge ,G,81.0
Josh Howard ,G,52.0
Maurice Williams ,G,81.0
Shaquille O'neal ,G,75.0
Rashard Lewis ,G,79.0
Chauncey Billups ,G,79.0
Allen Iverson ,G,57.0
Nate Robinson ,G,74.0
Dwyane Wade ,MIN,38.6
LeBron James ,MIN,37.7
Kobe Bryant ,MIN,36.2
Dirk Nowitzki ,MIN,37.7
Danny Granger ,MIN,36.2
Kevin Durant ,MIN,39.0
Kevin Martin ,MIN,38.2
Al Jefferson ,MIN,36.6
Chris Paul ,MIN,38.5
Carmelo Anthony ,MIN,34.5
Chris Bosh ,MIN,38.1
Brandon Roy ,MIN,37.2
Antawn Jamison ,MIN,38.2
Tony Parker ,MIN,34.1
Amare Stoudemire ,MIN,36.8
Joe Johnson ,MIN,39.5
Devin Harris ,MIN,36.1
Michael Redd ,MIN,36.4
David West ,MIN,39.3
Zachary Randolph ,MIN,35.1
Caron Butler ,MIN,38.6
Vince Carter ,MIN,36.8
Stephen Jackson ,MIN,39.7
Ben Gordon ,MIN,36.6
Dwight Howard ,MIN,35.7
Paul Pierce ,MIN,37.4
Al Harrington ,MIN,34.9
Jamal Crawford ,MIN,38.1
Yao Ming ,MIN,33.6
Richard Jefferson ,MIN,35.9
Jason Terry ,MIN,33.6
Deron Williams ,MIN,36.9
Tim Duncan ,MIN,33.7
Monta Ellis ,MIN,35.6
Rudy Gay ,MIN,37.3
Pau Gasol ,MIN,37.1
Andre Iguodala ,MIN,39.8
Corey Maggette ,MIN,31.1
O.J. Mayo ,MIN,38.0
John Salmons ,MIN,37.5
Richard Hamilton ,MIN,34.0
Ray Allen ,MIN,36.3
LaMarcus Aldridge ,MIN,37.1
Josh Howard ,MIN,31.9
Maurice Williams ,MIN,35.0
Shaquille O'neal ,MIN,30.1
Rashard Lewis ,MIN,36.2
Chauncey Billups ,MIN,35.3
Allen Iverson ,MIN,36.7
Nate Robinson ,MIN,29.9
Dwyane Wade ,PTS,30.2
LeBron James ,PTS,28.4
Kobe Bryant ,PTS,26.8
Dirk Nowitzki ,PTS,25.9
Danny Granger ,PTS,25.8
Kevin Durant ,PTS,25.3
Kevin Martin ,PTS,24.6
Al Jefferson ,PTS,23.1
Chris Paul ,PTS,22.8
Carmelo Anthony ,PTS,22.8
Chris Bosh ,PTS,22.7
Brandon Roy ,PTS,22.6
Antawn Jamison ,PTS,22.2
Tony Parker ,PTS,22.0
Amare Stoudemire ,PTS,21.4
Joe Johnson ,PTS,21.4
Devin Harris ,PTS,21.3
Michael Redd ,PTS,21.2
David West ,PTS,21.0
Zachary Randolph ,PTS,20.8
Caron Butler ,PTS,20.8
Vince Carter ,PTS,20.8
Stephen Jackson ,PTS,20.7
Ben Gordon ,PTS,20.7
Dwight Howard ,PTS,20.6
Paul Pierce ,PTS,20.5
Al Harrington ,PTS,20.1
Jamal Crawford ,PTS,19.7
Yao Ming ,PTS,19.7
Richard Jefferson ,PTS,19.6
Jason Terry ,PTS,19.6
Deron Williams ,PTS,19.4
Tim Duncan ,PTS,19.3
Monta Ellis ,PTS,19.0
Rudy Gay ,PTS,18.9
Pau Gasol ,PTS,18.9
Andre Iguodala ,PTS,18.8
Corey Maggette ,PTS,18.6
O.J. Mayo ,PTS,18.5
John Salmons ,PTS,18.3
Richard Hamilton ,PTS,18.3
Ray Allen ,PTS,18.2
LaMarcus Aldridge ,PTS,18.1
Josh Howard ,PTS,18.0
Maurice Williams ,PTS,17.8
Shaquille O'neal ,PTS,17.8
Rashard Lewis ,PTS,17.7
Chauncey Billups ,PTS,17.7
Allen Iverson ,PTS,17.5
Nate Robinson ,PTS,17.2
Dwyane Wade ,FGM,10.8
LeBron James ,FGM,9.7
Kobe Bryant ,FGM,9.8
Dirk Nowitzki ,FGM,9.6
Danny Granger ,FGM,8.5
Kevin Durant ,FGM,8.9
Kevin Martin ,FGM,6.7
Al Jefferson ,FGM,9.7
Chris Paul ,FGM,8.1
Carmelo Anthony ,FGM,8.1
Chris Bosh ,FGM,8.0
Brandon Roy ,FGM,8.1
Antawn Jamison ,FGM,8.3
Tony Parker ,FGM,8.9
Amare Stoudemire ,FGM,7.6
Joe Johnson ,FGM,7.8
Devin Harris ,FGM,6.6
Michael Redd ,FGM,7.5
David West ,FGM,8.0
Zachary Randolph ,FGM,8.3
Caron Butler ,FGM,7.3
Vince Carter ,FGM,7.4
Stephen Jackson ,FGM,7.0
Ben Gordon ,FGM,7.3
Dwight Howard ,FGM,7.1
Paul Pierce ,FGM,6.7
Al Harrington ,FGM,7.3
Jamal Crawford ,FGM,6.4
Yao Ming ,FGM,7.4
Richard Jefferson ,FGM,6.5
Jason Terry ,FGM,7.3
Deron Williams ,FGM,6.8
Tim Duncan ,FGM,7.4
Monta Ellis ,FGM,7.8
Rudy Gay ,FGM,7.2
Pau Gasol ,FGM,7.3
Andre Iguodala ,FGM,6.6
Corey Maggette ,FGM,5.7
O.J. Mayo ,FGM,6.9
John Salmons ,FGM,6.5
Richard Hamilton ,FGM,7.0
Ray Allen ,FGM,6.3
LaMarcus Aldridge ,FGM,7.4
Josh Howard ,FGM,6.8
Maurice Williams ,FGM,6.5
Shaquille O'neal ,FGM,6.8
Rashard Lewis ,FGM,6.1
Chauncey Billups ,FGM,5.2
Allen Iverson ,FGM,6.1
Nate Robinson ,FGM,6.1
Dwyane Wade ,FGA,22.0
LeBron James ,FGA,19.9
Kobe Bryant ,FGA,20.9
Dirk Nowitzki ,FGA,20.0
Danny Granger ,FGA,19.1
Kevin Durant ,FGA,18.8
Kevin Martin ,FGA,15.9
Al Jefferson ,FGA,19.5
Chris Paul ,FGA,16.1
Carmelo Anthony ,FGA,18.3
Chris Bosh ,FGA,16.4
Brandon Roy ,FGA,16.9
Antawn Jamison ,FGA,17.8
Tony Parker ,FGA,17.5
Amare Stoudemire ,FGA,14.1
Joe Johnson ,FGA,18.0
Devin Harris ,FGA,15.1
Michael Redd ,FGA,16.6
David West ,FGA,17.0
Zachary Randolph ,FGA,17.5
Caron Butler ,FGA,16.2
Vince Carter ,FGA,16.8
Stephen Jackson ,FGA,16.9
Ben Gordon ,FGA,16.0
Dwight Howard ,FGA,12.4
Paul Pierce ,FGA,14.6
Al Harrington ,FGA,16.6
Jamal Crawford ,FGA,15.7
Yao Ming ,FGA,13.4
Richard Jefferson ,FGA,14.9
Jason Terry ,FGA,15.8
Deron Williams ,FGA,14.5
Tim Duncan ,FGA,14.8
Monta Ellis ,FGA,17.2
Rudy Gay ,FGA,16.0
Pau Gasol ,FGA,12.9
Andre Iguodala ,FGA,14.0
Corey Maggette ,FGA,12.4
O.J. Mayo ,FGA,15.6
John Salmons ,FGA,13.8
Richard Hamilton ,FGA,15.6
Ray Allen ,FGA,13.2
LaMarcus Aldridge ,FGA,15.3
Josh Howard ,FGA,15.1
Maurice Williams ,FGA,13.9
Shaquille O'neal ,FGA,11.2
Rashard Lewis ,FGA,13.8
